,,,,,,,,,,,,,,,,,,,,,,
Food,FoodId,Does it contain cheese ?,Does it contain dought (ie : bread) ?,Does it contain vegetables ?,Is it healthy ?,Is there a soup ?,Is it cooked in hoven ?,Is it a hot meal ?,Vegetarian ?,Is there sea food or fish ? ,Is it sauce based food ?,Is the preparation fast ?,Is it Asian food ?,Is it Italian food ?,Is it Mexican food?,Do you eat it with your finger ?,Does it contain Pork ?,Is it Japanese food ?,Does it contain beef ?,Is it Korean food ? ,Is it French food?,Is it Arabic food?
Pizza,0,yes,yes,yes,no,no,yes,yes,no,yes and no,no,yes,no,yes,no,yes,yes and no,no,yes and no,no,no,no
Hamburger,1,yes and no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no
Pasta,2,yes and no,no,yes,yes and no,no,no,yes,yes and no,yes and no,no,yes,no,yes,no,no,no,no,yes and no,no,no,no
Hot dog,3,yes and no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no
Salad,4,yes and no,no,yes,yes,no,no,no,yes and no,no,no,yes,no,no,no,no,no,no,no,no,yes and no,no
Ramen,5,no,no,yes,yes and no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no
Gratin dauphinois,6,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no
vichy carrots,7,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
Minestrone,8,yes,no,yes,yes,yes,no,yes,yes and no,no,no,no,no,yes,no,no,yes,no,no,no,no,no
Pho,9,no,no,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Couscous,10,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes
Paella,11,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Vegetable soup,12,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes and no,yes and no
Spaghetti bolognese,13,yes and no,no,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no
Fried Spring Rolls,14,no,no,yes,no,no,no,yes,yes and no,no,no,no,yes,no,no,yes,yes and no,no,no,no,no,no
Chop Suey,15,no,no,yes,yes,no,no,yes,no,yes and no,no,no,yes,no,no,no,no,no,no,no,no,no
Tartiflette,16,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no
Tonkatsu,17,no,no,yes and no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no
Samosas,18,no,no,yes,no,no,no,yes,yes and no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes
Chili con carne,19,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no
Burritos,20,yes and no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no
Fajitas,21,yes and no,yes,yes,no,no,no,yes,yes and no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no
Enchiladas,22,yes and no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no
veal stew,23,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
Bánh bao,24,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no
Lasagna,25,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no
Fried noodles,26,no,no,yes,no,no,no,yes,yes and no,no,no,yes,yes,no,no,no,no,no,yes and no,no,no,no
Korean BBQ,27,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no
Crumble of tomatoes,28,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes and no,no
Stir mine,29,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Cantonese rice,30,no,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no
Sushis,31,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,no
Kebab,32,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes
Falafel,33,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes
Crab chowder,34,yes and no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Oysters,35,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes and no,no
Benedict egg,36,no,no,no,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Beef bourguignon,37,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no
Tartar,38,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no
Okonomiyaki,39,yes and no,yes,yes,no,no,no,yes,yes and no,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,no
Yakisoba,40,no,no,yes,no,no,no,yes,yes and no,no,yes,no,yes,no,no,no,yes and no,yes,yes and no,no,no,no
Tempura,41,no,yes,yes,no,no,no,yes,yes and no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no
Tofu,42,no,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no
Unagi no Kabayaki,43,no,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no
Takoyaki,44,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no
Onigiri,45,no,no,yes,yes,no,no,no,yes and no,yes and no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no
Tteokbokki,46,no,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no
Pad Thai,47,no,no,yes,yes,no,no,yes,yes and no,no,yes,yes,yes,no,no,no,yes and no,no,no,no,no,no
Dan Dan Noodles,48,no,no,yes,yes,no,no,yes,yes and no,no,no,yes,yes,no,no,no,yes and no,no,no,no,no,no
Szechuan Beef,49,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no
General Tso Meatballs,50,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no
Curry,51,no,no,yes,yes,no,no,yes,yes and no,no,yes,yes,yes,no,no,no,no,no,yes and no,no,no,no
Wonton Soup,52,no,no,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Lo Mein,53,no,no,yes,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
Kimchi,54,no,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no
Humus,55,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,yes
Mac and cheese,56,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
Mozzarella and tomato,57,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no
"Leek, bacon & potato soup",58,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Chestnut soup,59,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
Harira soup,60,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Bougna,61,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Rougail sausages,62,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no
Bread Tuna,63,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no
Ham Croissant,64,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,yes,no
Endives with ham,65,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no
shepherd's pie,66,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no
Tomato pie,67,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no
Cheese omelette,68,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
Quiche lorraine,69,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,yes,no
Moussaka,70,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Nicoise salad,71,no,no,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no
Foie gras,72,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
Gaspacho,73,no,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
Gougère cheese,74,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no
Piemontaise salad,75,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no
Tzatziki,76,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
Mimosa eggs,77,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
Taboule,78,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes
Cheese soufflé,79,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no
Oignon Soup,80,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
Pumpkin soup,81,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
Cutlet Milanaise,82,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no
duo salmon,83,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no
zucchini soup,84,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
Grapefruit shrimp,85,no,no,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no
Coleslaw,86,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
Puff spinach,87,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no
Eggplant millefeuille,88,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
Shirred eggs,89,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no
Vegetables terrine,90,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no
